Date,TSLA
7/11/2014,16.01333237
10/11/2014,16.12866783
11/11/2014,16.73866653
12/11/2014,16.60666656
13/11/2014,16.78000069
14/11/2014,17.24533272
17/11/2014,16.93199921
18/11/2014,17.18000031
19/11/2014,16.51600075
20/11/2014,16.5806675
21/11/2014,16.18533325
24/11/2014,16.44799995
25/11/2014,16.53933334
26/11/2014,16.56266785
28/11/2014,16.30133247
1/12/2014,15.44266701
2/12/2014,15.42866707
3/12/2014,15.28666687
4/12/2014,15.21866703
5/12/2014,14.91399956
8/12/2014,14.29066658
9/12/2014,14.45933342
10/12/2014,13.98933315
11/12/2014,13.92533302
12/12/2014,13.80000019
15/12/2014,13.60266685
16/12/2014,13.18733311
17/12/2014,13.72133255
18/12/2014,14.55066681
19/12/2014,14.61933327
22/12/2014,14.84000015
23/12/2014,14.73133278
24/12/2014,14.81733322
26/12/2014,15.18799973
29/12/2014,15.04733276
30/12/2014,14.81533337
31/12/2014,14.82733345
2/1/2015,14.62066746
5/1/2015,14.00599957
6/1/2015,14.08533287
7/1/2015,14.06333256
8/1/2015,14.0413332
9/1/2015,13.77733326
12/1/2015,13.48066711
13/1/2015,13.61666679
14/1/2015,12.84599972
15/1/2015,12.7913332
16/1/2015,12.87133312
20/1/2015,12.79533291
21/1/2015,13.10466671
22/1/2015,13.44133282
23/1/2015,13.41933346
26/1/2015,13.77000046
27/1/2015,13.73200035
28/1/2015,13.2913332
29/1/2015,13.68000031
30/1/2015,13.57333279
2/2/2015,14.06266689
3/2/2015,14.55733299
4/2/2015,14.56999969
5/2/2015,14.73266697
6/2/2015,14.49066734
9/2/2015,14.49866676
10/2/2015,14.41933346
11/2/2015,14.18666744
12/2/2015,13.5253334
13/2/2015,13.58466721
17/2/2015,13.62333298
18/2/2015,13.63066673
19/2/2015,14.11400032
20/2/2015,14.47399998
23/2/2015,13.82266712
24/2/2015,13.60733318
25/2/2015,13.58399963
26/2/2015,13.81266689
27/2/2015,13.55599976
2/3/2015,13.15533257
3/3/2015,13.3039999
4/3/2015,13.49600029
5/3/2015,13.37533283
6/3/2015,12.92533302
9/3/2015,12.72533321
10/3/2015,12.68799973
11/3/2015,12.91600037
12/3/2015,12.73799992
13/3/2015,12.57866669
16/3/2015,13.0466671
17/3/2015,12.98200035
18/3/2015,13.38066673
19/3/2015,13.04333305
20/3/2015,13.20533276
23/3/2015,13.30866718
24/3/2015,13.44799995
25/3/2015,12.9533329
26/3/2015,12.69400024
27/3/2015,12.33333302
30/3/2015,12.70466709
31/3/2015,12.58466721
1/4/2015,12.50599957
2/4/2015,12.73333263
6/4/2015,13.53999996
7/4/2015,13.55000019
8/4/2015,13.84466743
9/4/2015,14.00599957
10/4/2015,14.06000042
13/4/2015,13.98533344
14/4/2015,13.83066654
15/4/2015,13.85533333
16/4/2015,13.77999973
17/4/2015,13.78600025
20/4/2015,13.68466663
21/4/2015,13.96066666
22/4/2015,14.62933254
23/4/2015,14.57333279
24/4/2015,14.56200027
27/4/2015,15.43666744
28/4/2015,15.3653326
29/4/2015,15.49666691
30/4/2015,15.06999969
1/5/2015,15.06866741
4/5/2015,15.36733341
5/5/2015,15.52999973
6/5/2015,15.36200047
7/5/2015,15.78666687
8/5/2015,15.77400017
11/5/2015,15.9659996
12/5/2015,16.31599998
13/5/2015,16.21199989
14/5/2015,16.2733326
15/5/2015,16.58933258
18/5/2015,16.58333206
19/5/2015,16.47599983
20/5/2015,16.29000092
21/5/2015,16.37466621
22/5/2015,16.51533318
26/5/2015,16.49733353
27/5/2015,16.49533272
28/5/2015,16.76333237
29/5/2015,16.71999931
1/6/2015,16.62999916
2/6/2015,16.55666733
3/6/2015,16.59933281
4/6/2015,16.39466667
5/6/2015,16.60933304
8/6/2015,17.08600044
9/6/2015,17.06666756
10/6/2015,16.71333313
11/6/2015,16.7606678
12/6/2015,16.71266747
15/6/2015,16.69199944
16/6/2015,16.87466621
17/6/2015,17.36066628
18/6/2015,17.45933342
19/6/2015,17.50066757
22/6/2015,17.31933212
23/6/2015,17.84466743
24/6/2015,17.6779995
25/6/2015,17.9193325
26/6/2015,17.80599976
29/6/2015,17.46800041
30/6/2015,17.88400078
1/7/2015,17.94333267
2/7/2015,18.66799927
6/7/2015,18.64800072
7/7/2015,17.85866737
8/7/2015,16.99733353
9/7/2015,17.19466782
10/7/2015,17.27666664
13/7/2015,17.47733307
14/7/2015,17.70999908
15/7/2015,17.54266739
16/7/2015,17.77866745
17/7/2015,18.31066704
20/7/2015,18.81733322
21/7/2015,17.78466606
22/7/2015,17.8579998
23/7/2015,17.81333351
24/7/2015,17.69400024
27/7/2015,16.86733246
28/7/2015,17.6546669
29/7/2015,17.58799934
30/7/2015,17.7859993
31/7/2015,17.74333382
3/8/2015,17.3326664
4/8/2015,17.75200081
5/8/2015,18.00866699
6/8/2015,16.40866661
7/8/2015,16.1673336
10/8/2015,16.07600021
